"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"2.102.973.856","BAET",,,"5100","Namur","Namur","Rue du Pont des Ardennes(JB)","Rue du Pont des Ardennes(JB)","6","14","",
"2.102.973.955","BAET",,,"5000","Namur","Namur","Rue de l'Ange","Rue de l'Ange","74","","",
"2.102.974.252","BAET",,,"6800","Libramont-Chevigny","Libramont-Chevigny","Libramont,Rue des Alliés","Libramont,Rue des Alliés","1","","",
"2.102.974.351","BAET",,,"1400","Nivelles","Nivelles","Rue de Namur","Rue de Namur","55/A","","67NNAA",
"2.102.974.549","BAET",,,"1300","Wavre","Wavre","Rue de la Limite","Rue de la Limite","2","","",
"2.102.974.648","BAET",,,"1420","Braine-l'Alleud","Braine-l'Alleud","Avenue Albert 1er","Avenue Albert 1er","117","","",
"2.102.974.846","BAET",,,"1400","Nivelles","Nivelles","Rue de la Technique","Rue de la Technique","11","","",
"2.102.974.945","BAET",,,"1410","La Hulpe","La Hulpe","Chaussée de Bruxelles","Chaussée de Bruxelles","219A","","",
"2.102.975.143","BAET",,,"9700","Oudenaarde","Oudenaarde","Markt","Markt","13","","",
"2.102.975.242","BAET",,,"9100","Sint-Niklaas","Sint-Niklaas","Passtraat","Passtraat","1C","","",
"2.102.975.341","BAET",,,"9160","Lokeren","Lokeren","Markt","Markt","56","","",
"2.102.975.440","BAET",,,"9100","Sint-Niklaas","Sint-Niklaas","Stationsstraat","Stationsstraat","36","","",
"2.102.975.539","BAET",,,"3600","Genk","Genk","Europalaan","Europalaan","27","","",
"2.102.975.737","BAET",,,"3600","Genk","Genk","Sint-Martinusplein","Sint-Martinusplein","25","","",
"2.102.975.836","BAET",,,"3700","Tongeren","Tongeren","Maastrichterstraat","Maastrichterstraat","94","","",
"2.102.975.935","BAET",,,"7500","Tournai","Tournai","Boulevard des Nerviens(TOU)","Boulevard des Nerviens(TOU)","1","","",
"2.102.976.034","BAET",,,"7800","Ath","Ath","Rue aux Gâdes","Rue aux Gâdes","10","","",
"2.102.976.133","BAET",,,"7700","Mouscron","Mouscron","Pater Damiaanstraat","Rue Père Damien","8","03","",
"2.102.976.232","BAET",,,"7500","Tournai","Tournai","Boulevard Walter de Marvis(TOU)","Boulevard Walter de Marvis(TOU)","22","","",
"2.102.976.430","BAET",,,"2300","Turnhout","Turnhout","Parklaan","Parklaan","34","","",
"2.102.976.529","BAET",,,"2200","Herentals","Herentals","Zandstraat(HRT)","Zandstraat(HRT)","27","","",
"2.102.976.628","BAET",,,"2400","Mol","Mol","Statiestraat","Statiestraat","38 A","","",
"2.102.976.727","BAET",,,"2300","Turnhout","Turnhout","Victoriestraat","Victoriestraat","14","","",
"2.102.976.925","BAET",,,"4800","Verviers","Verviers","Crapaurue","Crapaurue","126","","",
"2.102.977.024","BAET",,,"4960","Malmedy","Malmedy","Place du Châtelet","Place du Châtelet","1","","",
"2.102.977.123","BAET",,,"8630","Veurne","Veurne","Pannestraat","Pannestraat","1","","",
"2.102.977.222","BAET",,,"4700","Eupen","Eupen","Rue de la Montagne","Rue de la Montagne","14","","",
"2.133.609.525","BAET",,,"1300","Wavre","Wavre","Place Cardinal Mercier","Place Cardinal Mercier","1","","",
"2.133.610.020","BAET",,,"7000","Mons","Mons","Rue de la Chaussée","Rue de la Chaussée","42","","",
"2.133.610.812","BAET",,,"8000","Brugge","Brugge","Noordzandstraat","Noordzandstraat","60","","",
"2.133.611.208","BAET",,,"9000","Gent","Gent","Veldstraat","Veldstraat","9-11","","",
"2.133.611.703","BAET",,,"9400","Ninove","Ninove","Vuurkruisersstraat","Vuurkruisersstraat","10","5","",
"2.133.612.196","BAET",,,"1040","Etterbeek","Etterbeek","Tongerenstraat","Rue des Tongres","63","65","",
"2.133.612.394","BAET",,,"1000","Brussel","Bruxelles","Munt","Place de la Monnaie","9","","",
"2.133.612.790","BAET",,,"1082","Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Keizer Karellaan","Avenue Charles-Quint","420","","",
"2.133.613.087","BAET",,,"1180","Ukkel","Uccle","Xavier De Buestraat","Rue Xavier De Bue","52","","",
"2.134.034.246","BAET",,,"8400","Oostende","Oostende","Marie-Joséplein","Marie-Joséplein","12","","Res. Bouchery",
"2.153.240.048","BAET",,,"1070","Anderlecht","Anderlecht","Tweestationsstraat","Rue des Deux Gares","84","","",
"2.153.240.147","BAET",,,"1080","Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Birminghamstraat","Rue de Birmingham","66","","",
"2.153.240.642","BAET",,,"1140","Evere","Evere","Carlistraat","Rue Carli","4","","",
"2.153.240.741","BAET",,,"1500","Halle","Halle","Jacminstraat (Jean)","Jacminstraat (Jean)","14","","",
"2.153.240.840","BAET",,,"1050","Brussel","Bruxelles","Borrensstraat","Rue Borrens","16","","",
"2.153.240.939","BAET",,,"1800","Vilvoorde","Vilvoorde","Leuvensestraat","Leuvensestraat","7-9","","",
"2.153.241.137","BAET",,,"1000","Brussel","Bruxelles","Lebeaustraat","Rue Lebeau","2","","",
"2.153.241.434","BAET",,,"2600","Antwerpen","Antwerpen","Uitbreidingstraat","Uitbreidingstraat","325","","",
"2.153.241.533","BAET",,,"2500","Lier","Lier","Bollaarstraat","Bollaarstraat","8A+B","","",
"2.153.241.632","BAET",,,"2930","Brasschaat","Brasschaat","Leopoldslei","Leopoldslei","13","","",
"2.153.241.731","BAET",,,"2040","Antwerpen","Antwerpen","Antwerpsebaan","Antwerpsebaan","105","","",
"2.153.241.830","BAET",,,"2640","Mortsel","Mortsel","Hendrik Consciencelaan","Hendrik Consciencelaan","62","","",
"2.153.241.929","BAET",,,"3500","Hasselt","Hasselt","Paardsdemerstraat","Paardsdemerstraat","8-10","","",
"2.153.242.127","BAET",,,"3500","Hasselt","Hasselt","Hendrik van Veldekesingel","Hendrik van Veldekesingel","39","","",
"2.153.242.226","BAET",,,"3900","Overpelt","Overpelt","Koning Albertlaan","Koning Albertlaan","1","","",
"2.153.242.325","BAET",,,"3800","Sint-Truiden","Sint-Truiden","Rijschoolstraat","Rijschoolstraat","49","","",
"2.153.242.424","BAET",,,"3290","Diest","Diest","Ferdinand Allenstraat","Ferdinand Allenstraat","38","","",
"2.153.242.523","BAET",,,"2800","Mechelen","Mechelen","Dellingstraat","Dellingstraat","52","","",
"2.153.242.622","BAET",,,"2800","Mechelen","Mechelen","Oscar Van Kesbeeckstraat","Oscar Van Kesbeeckstraat","2","","",
"2.153.242.721","BAET",,,"3200","Aarschot","Aarschot","Nieuwlandlaan","Nieuwlandlaan","31","","",
"2.153.242.820","BAET",,,"3010","Leuven","Leuven","Lolanden","Lolanden","1","","",
"2.153.242.919","BAET",,,"4000","Liège","Liège","Impasse Jonckeu","Impasse Jonckeu","12","","",
"2.153.243.018","BAET",,,"4040","Herstal","Herstal","Rue Pépin de Herstal","Rue Pépin de Herstal","16","","",
"2.153.243.117","BAET",,,"8310","Brugge","Brugge","Matmeers","Matmeers","2","","",
"2.153.243.315","BAET",,,"8800","Roeselare","Roeselare","Beversesteenweg","Beversesteenweg","189","","",
"2.153.243.612","BAET",,,"8800","Roeselare","Roeselare","Hendrik Consciencestraat","Hendrik Consciencestraat","3-5","","",
"2.153.243.810","BAET",,,"9200","Dendermonde","Dendermonde","Noordlaan (DEN)","Noordlaan (DEN)","25","","",
"2.153.243.909","BAET",,,"9300","Aalst","Aalst","De Ridderstraat","De Ridderstraat","41","","",
"2.153.244.107","BAET",,,"1770","Liedekerke","Liedekerke","Ed. Schelfhoutstraat","Ed. Schelfhoutstraat","232","","",
"2.153.244.206","BAET",,,"9600","Ronse","Ronse","Politiekegevangenenstraat","Rue des Prisonniers-Politiques","14","","",
"2.153.244.305","BAET",,,"8500","Kortrijk","Kortrijk","Tuinstraat(Kor)","Tuinstraat(Kor)","6","","",
"2.153.244.602","BAET",,,"7700","Mouscron","Mouscron","Keizer Karelstraat","Rue Charles-Quint","90","","",
"2.153.245.293","BAET",,,"8900","Ieper","Ieper","Vooruitgangstraat","Vooruitgangstraat","1","","",
"2.153.245.392","BAET",,,"8470","Gistel","Gistel","Nieuwpoortse Steenweg","Nieuwpoortse Steenweg","15","","",
"2.153.245.491","BAET",,,"8400","Oostende","Oostende","Wittenonnenstraat","Wittenonnenstraat","44","","",
"2.153.245.590","BAET",,,"6700","Arlon","Arlon","Place Didier","Place Didier","39","1","",
